N_id,Title,Main Genre,Sub Genres,Release Year,Maturity Rating,Original Audio,Recommendations
20559714,The Mummy,Action,"Action & Adventure, US",1999,U/A 16+,"Hindi, English [Original], Tamil, Telugu, English - Audio Description","70217910, 70178621, 60001650, 80084088, 60020549, 70027007, 60004467, 70056440, 60036256, 80161352, 60029176, 70097578"
20764666,English Babu Desi Mem,Comedy,"Hindi-Language, Bollywood, Drama, Comedy",1996,U/A 16+,Hindi [Original],"17671454, 80157083, 17517355, 60036112, 70000196, 60000722, 80158395, 60036752, 80156935, 80157133, 24081514, 60036750"
21303955,Big Daddy,Comedy,"Comedy, US",1999,U/A 13+,"Hindi, English [Original]","70044593, 1152469, 70125231, 70267242, 80064512, 80183328, 215309, 60033311, 80037476, 70021637, 215318, 70220030"
21304015,Notting Hill,Romance,"British, Romantic Comedies, Comedy, Romantic",1999,U/A 13+,"English [Original], Hindi, English - Audio Description","60022922, 80239019, 60020782, 60036227, 60033311, 70044867, 80047616, 70093223, 60026122, 60000880, 70103758, 828487"
21477429,The Last Days,Documentary,"Documentaries, Historical Documentaries, US",1998,U/A 16+,English [Original],"81474469, 80989924, 81227142, 81303911, 80106791, 81488464, 80226649, 80201488, 81331646, 80138915, 81561941, 81672035"
21878564,Saving Private Ryan,Drama,"Military, Drama, Action & Adventure, US",1998,A,"English [Original], Hindi, English - Audio Description","80067930, 70108777, 70266110, 70056440, 70101375, 81260280, 81166149, 60000417, 70301585, 80118916, 81166791, 80189214"
24012660,Gumrah,Action,"Hindi-Language, Bollywood, Drama, Action & Adventure",1993,U/A 16+,Hindi [Original],"20764666, 80158543, 17517355, 80158395, 80157084, 60002088, 81244365, 80156935, 60002082, 235527, 24081514, 81595555"
24081514,Ram-Jaane,Drama,"Hindi-Language, Bollywood, Crime, Drama, Romantic",1995,U/A 16+,Hindi [Original],"17671454, 20764666, 17517355, 80157083, 60036112, 60000722, 80158395, 60021758, 60036752, 80156935, 70000196, 60036750"
27748788,Indian,Drama,"Drama, Action & Adventure, Social Issue Dramas, Tamil-Language",1996,U/A 16+,Tamil [Original],"81686137, 81639319, 81917391, 81742609, 81917390, 81690671, 81754779, 81285617, 81602976, 81715677, 81712516, 81917393"
27828200,The Bone Collector,Thriller,"Crime, Drama, Thriller, Mystery, Based on Books, US",1999,A,"Hindi, Telugu, English [Original]","950149, 60010341, 937499, 70044379, 60022967, 60000417, 60000165, 70113299, 797261, 80202075, 268371, 70142888"
